ФИО,Год_поступления,Форма_обучения,Средний_балл_аттестата,Общий_балл,Специальность,Адрес_регистрации,Телефон,ЦТ_Русский язык,ЦТ_Химия,ЦТ_Физика,ЦТ_Математика,ЦТ_История,ЦТ_Биология
Белов Эмиль Валерианович,2022,Бюджет,8.7,288.6,Философия,п. Сургут (Хант.),+7 339 940 0989,80.0,,69.0,53.0,,
Ершов Радим Антонович,2019,Целевое,6.6,323.0,Прикладная математика,г. Шатой,8 508 203 61 53,73.0,,100.0,,84.0,
Кира Георгиевна Егорова,2019,Целевое,7.8,261.3,Прикладная информатика,п. Азов (Рост.),8 165 306 7832,48.0,,68.0,67.0,,
Соболева Виктория Харитоновна,2019,Платка,10.0,361.0,Психология,ст. Россошь,+7 (243) 160-38-80,,,79.0,82.0,100.0,
Любомир Еремеевич Волков,2022,Бюджет,7.2,322.3,Лечебное дело,п. Волхов,8 448 582 54 68,,,74.0,,76.0,100.0
Анатолий Устинович Осипов,2022,Платка,5.7,329.8,Радиофизика,к. Терней,85277372326,,,100.0,95.0,78.0,
Комарова Олимпиада Владиславовна,2021,Платка,7.7,287.1,Прикладная информатика,к. Петухово,+7 010 468 4528,69.0,,,66.0,,75.0
Русакова Ксения Константиновна,2019,Платка,6.1,295.3,Лечебное дело,ст. Нефтегорск (Самар.),85866902442,66.0,92.0,,76.0,,
Наталья Артемовна Журавлева,2020,Бюджет,5.8,328.5,Радиофизика,клх Кировск (Мурм.),83859177965,,,100.0,,82.0,88.0
Алина Леонидовна Крылова,2020,Платка,10.0,289.0,Международные отношения,ст. Анапа,8 455 955 04 11,,,63.0,63.0,,63.0
Симонова Галина Евгеньевна,2023,Бюджет,7.1,360.2,Прикладная информатика,с. Хасавюрт,8 (596) 126-9825,93.0,,,100.0,96.0,
Ирина Юрьевна Сергеева,2020,Бюджет,7.6,322.0,Лечебное дело,д. Сузун,+7 (591) 855-87-81,81.0,,,,78.0,87.0
Чернов Спартак Вячеславович,2022,Бюджет,6.9,369.3,Радиофизика,г. Ахтубинск,+7 (377) 885-7278,,,100.0,100.0,,100.0
Ипполит Измаилович Большаков,2021,Платка,8.3,335.2,Кибербезопасность,ст. Кропоткин (Краснод.),8 788 801 98 97,,90.0,,,83.0,79.0
Михайлов Ростислав Филиппович,2020,Платка,10.0,288.0,Философия,ст. Усть-Ордынский,83474481603,,,63.0,61.0,64.0,
Ладимир Анисимович Волков,2019,Бюджет,8.5,305.2,Прикладная математика,ст. Тырныауз,8 (704) 866-35-31,,,80.0,,59.0,81.0
Валентина Геннадьевна Маслова,2023,Бюджет,6.1,269.6,Лечебное дело,клх Домбай,+7 593 862 56 78,,,64.0,71.0,74.0,
Белова Октябрина Харитоновна,2022,Бюджет,8.0,312.9,История,ст. Тымовское,8 113 684 54 99,,,64.0,88.0,81.0,
Арсений Ефимьевич Кошелев,2019,Платка,5.7,267.8,Психология,клх Тулпан,+7 311 494 69 21,68.0,61.0,,,82.0,
Анжела Вадимовна Стрелкова,2020,Целевое,8.4,295.3,Психология,клх Петушки,8 (538) 606-97-65,85.0,57.0,69.0,,,
Блинов Автоном Матвеевич,2022,Бюджет,7.2,221.0,Философия,п. Ряжск,8 386 852 36 49,69.0,29.0,,,,51.0
Корнилов Рюрик Иосифович,2019,Бюджет,7.7,237.6,Прикладная информатика,к. Котельнич,+7 (628) 198-46-07,,,,58.0,36.0,67.0
Доронина Акулина Вадимовна,2023,Бюджет,6.3,357.2,Философия,п. Балашиха,+77688446863,,100.0,99.0,,95.0,
Аксенова Прасковья Антоновна,2019,Бюджет,7.0,305.4,Международные отношения,ст. Гремячинск (Перм.),+74637879239,80.0,78.0,77.0,,,
Александрова Александра Робертовна,2023,Целевое,10.0,360.0,Информатика,д. Озеры,8 (053) 114-9949,,86.0,,79.0,95.0,
Филатов Пахом Власович,2021,Целевое,6.8,227.5,Прикладная информатика,г. Апшеронск,8 (574) 933-0476,,47.0,58.0,55.0,,
Алина Тарасовна Гордеева,2019,Целевое,7.9,285.3,Психология,ст. Яшалта,+7 783 905 3298,,75.0,60.0,,71.0,
Всеволод Гурьевич Сазонов,2023,Бюджет,8.3,311.6,Психология,ст. Онега,+7 (481) 053-10-98,84.0,70.0,75.0,,,
Анастасия Вениаминовна Маркова,2023,Платка,7.5,287.7,Радиофизика,д. Новгород Великий,8 (831) 572-1092,,59.0,,83.0,71.0,
Брагин Остромир Адрианович,2021,Бюджет,7.3,310.6,Психология,п. Темрюк,8 (364) 726-4570,,69.0,81.0,88.0,,
Святополк Ермилович Шарапов,2020,Целевое,9.1,321.7,Информатика,с. Архангельск,+7 (244) 729-2882,76.0,,,,76.0,79.0
Ангелина Константиновна Морозова,2019,Бюджет,7.3,298.4,Философия,ст. Тюмень,88196907591,81.0,,67.0,77.0,,
Евпраксия Владимировна Русакова,2023,Целевое,6.3,326.9,Прикладная математика,д. Мезень,+7 079 203 84 14,100.0,,93.0,,,71.0
Нина Григорьевна Лазарева,2021,Платка,8.3,289.5,Лечебное дело,к. Химки,+7 233 666 5568,,78.0,62.0,67.0,,
Давыдов Федот Елизарович,2019,Платка,8.7,291.7,Лечебное дело,ст. Апрелевка,8 725 530 9999,,,63.0,,60.0,82.0
Емельянов Руслан Васильевич,2020,Бюджет,6.8,268.2,Философия,г. Ангарск,+75035446741,,,73.0,66.0,,61.0
Хохлов Нифонт Игоревич,2022,Целевое,6.9,267.3,Кибербезопасность,к. Вендинга,8 257 238 12 78,66.0,58.0,74.0,,,
Анисим Харлампович Панфилов,2019,Платка,7.2,267.4,Лечебное дело,г. Петропавловск-Камчатский,+7 848 005 5386,,,66.0,58.0,,71.0
Беляков Милен Денисович,2022,Платка,7.5,345.8,Прикладная математика,ст. Клин,+7 (443) 449-51-79,,95.0,97.0,,79.0,
Беспалова Клавдия Григорьевна,2020,Платка,6.5,243.1,Психология,п. Середниково,85640133491,62.0,56.0,,60.0,,
Андроник Жанович Самойлов,2021,Целевое,8.3,345.3,Прикладная математика,п. Фатеж,+7 (023) 649-85-18,,85.0,,,97.0,80.0
Мишина Ираида Аркадьевна,2019,Платка,6.6,267.7,Прикладная математика,ст. Котлас,81113559772,,64.0,74.0,,64.0,
Архипова Ия Романовна,2019,Целевое,10.0,338.0,Радиофизика,с. Ведено,8 (170) 352-8963,,84.0,,,79.0,75.0
Мария Константиновна Белоусова,2023,Целевое,6.5,296.3,Психология,г. Усть-Камчатск,+72468785751,,,88.0,75.0,,68.0
Ирина Михайловна Наумова,2019,Целевое,6.6,204.9,Философия,с. Ребриха,88112726595,,,52.0,36.0,,51.0
Костин Елисей Дмитриевич,2022,Бюджет,6.8,333.1,Прикладная информатика,д. Красноуфимск,8 (383) 932-1005,81.0,97.0,,,87.0,
Аполлинарий Викторович Никитин,2021,Целевое,8.9,279.2,Радиофизика,г. Кулунда,+7 794 181 7249,78.0,65.0,,,,47.0
Соболев Ульян Витальевич,2021,Целевое,9.0,298.9,Радиофизика,ст. Двинской,86051146174,80.0,,64.0,,,65.0
Михеев Панкрат Давидович,2020,Целевое,7.0,207.6,Информатика,с. Красноуральск,81840928416,,48.0,,,42.0,48.0
Лора Кирилловна Ефремова,2019,Платка,8.1,306.2,История,клх Оймякон,8 (045) 644-52-72,,68.0,77.0,,,80.0
Никонов Вадим Ерофеевич,2023,Целевое,7.9,329.0,Международные отношения,п. Усть-Катав,8 (508) 457-19-36,,77.0,,,100.0,73.0
Пахомов Христофор Юлианович,2020,Целевое,7.6,284.8,Психология,клх Таганрог,+7 (335) 818-5994,,,61.0,72.0,,76.0
Харитонова Ульяна Тарасовна,2023,Целевое,8.3,382.7,Прикладная информатика,с. Байкальск,+7 320 824 8093,100.0,100.0,,,100.0,
Ипполит Марсович Макаров,2020,Целевое,5.4,335.9,Кибербезопасность,п. Амдерма,8 435 301 7428,,82.0,100.0,,100.0,
Синклитикия Станиславовна Зиновьева,2019,Бюджет,9.3,232.0,Международные отношения,с. Троицко-Печорск,+7 942 670 12 28,,,31.0,59.0,,49.0
Калашникова Василиса Васильевна,2022,Целевое,7.4,297.3,Международные отношения,п. Чехов,+7 (621) 783-51-73,,,63.0,,100.0,60.0
Анастасия Богдановна Маркова,2022,Бюджет,5.9,306.3,Радиофизика,ст. Челюскин,8 544 772 29 14,,,96.0,71.0,80.0,
Субботин Вениамин Германович,2020,Бюджет,6.2,295.3,Прикладная математика,к. Ставрополь,89741619886,85.0,,,,72.0,76.0
Лев Филатович Константинов,2023,Бюджет,6.9,303.6,Международные отношения,г. Усть-Кут,89335411955,,,82.0,86.0,,67.0
Князева Нонна Вадимовна,2023,Целевое,6.1,255.6,История,г. Яшкуль,8 (673) 955-7392,,55.0,,,80.0,60.0
София Максимовна Якушева,2023,Платка,7.4,373.7,Международные отношения,с. Якутск,8 (841) 596-7095,,,100.0,,100.0,100.0
Дорофеева Маргарита Филипповна,2022,Платка,6.8,320.1,Лечебное дело,г. Борзя,8 364 333 72 56,,95.0,78.0,,,79.0
Лазарев Автоном Евстигнеевич,2021,Платка,9.5,277.7,Психология,ст. Белореченск,8 668 987 17 07,,54.0,83.0,46.0,,
Пелагея Петровна Горбачева,2021,Платка,8.8,349.4,Кибербезопасность,к. Омск,+7 (907) 295-48-93,,,100.0,85.0,76.0,
Владимиров Пантелеймон Трифонович,2020,Платка,6.6,259.9,Прикладная информатика,п. Казань,+7 075 158 5554,60.0,,62.0,,72.0,
Горбачев Максимильян Валерьевич,2022,Платка,8.6,247.6,Радиофизика,к. Туапсе,87995906419,,48.0,,,43.0,71.0
Королева Любовь Геннадиевна,2019,Бюджет,9.3,318.3,История,к. Елатьма,8 968 283 38 46,80.0,,,61.0,,84.0
Коновалов Спиридон Димитриевич,2022,Платка,5.8,298.4,Радиофизика,п. Губкин,88093708835,,82.0,,83.0,75.0,
Журавлев Ферапонт Гертрудович,2022,Целевое,6.7,349.2,Международные отношения,к. Юровск,8 (706) 421-70-41,100.0,,95.0,,87.0,
Илья Анатольевич Борисов,2020,Платка,6.5,254.0,Радиофизика,г. Ессентуки,+7 (103) 074-8872,56.0,,,75.0,,58.0
Пахомов Василий Тихонович,2021,Целевое,6.8,298.1,Международные отношения,с. Златоуст,8 (949) 106-1832,87.0,,68.0,,,75.0
Ксения Геннадьевна Агафонова,2020,Целевое,8.4,341.0,История,д. Томари,8 (061) 441-0366,,,,73.0,100.0,84.0
Панова Антонина Львовна,2023,Целевое,6.6,239.8,Кибербезопасность,г. Терней,82533919576,46.0,,,70.0,,58.0
Онуфрий Викентьевич Яковлев,2022,Бюджет,6.4,196.1,Философия,к. Теберда,8 491 874 06 05,,49.0,,32.0,,51.0
Элеонора Робертовна Кондратьева,2020,Платка,6.7,288.2,Психология,д. Егорьевск,+78329420513,88.0,64.0,,,,69.0
Прохоров Игорь Зиновьевич,2022,Платка,6.8,306.1,Информатика,г. Карачаевск,88712322458,86.0,,,80.0,,72.0
Васильев Симон Бориславович,2019,Платка,4.5,319.3,Прикладная математика,д. Кирово-Чепецк,8 992 226 14 76,,,79.0,99.0,96.0,
Натан Демьянович Костин,2020,Бюджет,6.8,253.8,Лечебное дело,к. Андреаполь,8 704 010 3991,,,63.0,65.0,58.0,
Мария Рудольфовна Журавлева,2020,Платка,7.9,319.1,Международные отношения,с. Эльтон,8 314 179 9076,81.0,,75.0,84.0,,
Марфа Станиславовна Дорофеева,2021,Платка,7.0,285.9,Кибербезопасность,клх Белгород,+7 457 457 8161,,,70.0,83.0,63.0,
Селиверст Фадеевич Зиновьев,2021,Бюджет,8.9,351.4,История,г. Сосьва (Хант.),8 (186) 870-13-65,,75.0,,87.0,100.0,
Гусева Ангелина Аскольдовна,2022,Платка,7.1,239.8,История,д. Эльтон,+76963019488,59.0,,59.0,51.0,,
Медведев Нифонт Бориславович,2020,Бюджет,8.5,329.0,История,ст. Черкесск,8 060 215 79 49,99.0,75.0,,70.0,,
Кулагина Татьяна Семеновна,2019,Платка,8.9,193.7,Прикладная информатика,к. Новороссийск,87939084173,,22.0,,,39.0,44.0
Шестакова Зинаида Валериевна,2023,Целевое,7.7,344.2,Международные отношения,с. Уэлен,8 (317) 049-80-90,,78.0,,89.0,,100.0
Родион Васильевич Елисеев,2019,Платка,6.5,295.7,Радиофизика,д. Лесной (Сверд.),86827122647,,69.0,97.0,,,65.0
Шарапова Анна Борисовна,2020,Целевое,8.7,320.5,Международные отношения,г. Шелехов,87180390564,,77.0,,,80.0,76.0
Бирюкова Ольга Афанасьевна,2022,Целевое,8.0,280.5,Лечебное дело,клх Североуральск,+73694405515,63.0,73.0,,,65.0,
Герман Антипович Пестов,2019,Платка,8.0,342.0,История,г. Касимов,+7 216 279 5397,100.0,,90.0,,,72.0
Вера Наумовна Лазарева,2023,Целевое,9.3,372.0,Международные отношения,п. Кабанск,+7 753 863 6836,,93.0,,88.0,,98.0
Елизавета Святославовна Крылова,2021,Бюджет,10.0,341.0,Психология,д. Красновишерск,+7 (459) 382-8115,,72.0,86.0,,,83.0
Ярослав Тимурович Дьячков,2021,Платка,7.8,329.7,Информатика,клх Бомнак,+75928737934,,83.0,,92.0,77.0,
Касьян Артемьевич Владимиров,2020,Бюджет,9.4,317.1,Информатика,ст. Лазаревское,8 (615) 273-89-03,,,72.0,,73.0,78.0
Адриан Дмитриевич Терентьев,2020,Целевое,8.8,269.1,Прикладная математика,к. Нефтегорск (Самар.),8 443 959 7954,63.0,,,,64.0,54.0
Потапова Виктория Валериевна,2019,Платка,6.3,212.9,Психология,с. Горно-Алтайск,8 426 181 91 49,48.0,,59.0,,,43.0
Ермолай Глебович Белоусов,2023,Платка,5.9,213.5,Радиофизика,с. Охотск,8 196 072 33 38,,40.0,,,53.0,61.0
Абрамова Лукия Степановна,2023,Платка,7.2,296.1,Психология,ст. Соликамск,+7 693 068 12 56,65.0,89.0,,,,70.0
Бобылева Таисия Романовна,2021,Бюджет,8.3,281.4,Прикладная информатика,д. Пушкино (Моск.),8 498 620 08 01,,67.0,77.0,54.0,,
Нифонт Ефремович Карпов,2023,Целевое,10.0,400.0,Международные отношения,ст. Петрозаводск,+7 564 337 47 76,100.0,,100.0,,100.0,
Дьячкова Иванна Артемовна,2021,Целевое,7.3,298.3,Прикладная информатика,к. Богучар,8 059 000 1485,74.0,76.0,,,75.0,
Таисия Кирилловна Селиверстова,2020,Платка,6.6,251.4,Психология,к. Северо-Курильск,8 587 567 19 45,65.0,63.0,57.0,,,
Белова Октябрина Романовна,2019,Целевое,8.8,296.1,Прикладная математика,г. Калязин,+7 (361) 491-02-66,,45.0,94.0,,69.0,
Гришин Трифон Алексеевич,2019,Целевое,5.8,302.1,Прикладная информатика,п. Юрьевец (Иван.),8 (551) 080-00-17,,67.0,93.0,,,84.0
г-жа Волкова Таисия Афанасьевна,2019,Целевое,9.0,291.3,Международные отношения,с. Волгоград,+7 832 737 42 67,,47.0,,,79.0,75.0
Белоусов Остромир Захарьевич,2021,Бюджет,6.0,313.3,Прикладная информатика,г. Россошь,80400859234,,79.0,,85.0,,89.0
Моисеев Ростислав Архипович,2019,Платка,8.0,333.3,Кибербезопасность,д. Кажим,8 (589) 985-18-46,,,,88.0,87.0,78.0
Щербакова Кира Богдановна,2020,Целевое,8.2,307.1,Прикладная информатика,к. Калининград,87627341173,,78.0,80.0,67.0,,
Таисия Тимофеевна Гордеева,2023,Платка,7.3,298.8,Информатика,клх Арзамас,84329943049,60.0,,90.0,,76.0,
Бобылев Максим Фадеевич,2022,Платка,5.6,257.3,Психология,г. Дагомыс,+7 (333) 261-5086,62.0,61.0,,,,78.0
Евдокия Ефимовна Голубева,2023,Целевое,9.5,335.4,Лечебное дело,ст. Чехов,8 (819) 223-81-09,66.0,,,74.0,100.0,
Милован Денисович Лаврентьев,2020,Платка,7.5,296.5,Лечебное дело,г. Касимов,+7 361 293 23 00,74.0,,79.0,69.0,,
Бирюков Елизар Ааронович,2020,Целевое,7.4,357.3,Радиофизика,д. Таганрог,8 (471) 734-18-31,84.0,,100.0,99.0,,
Чернова Фёкла Романовна,2022,Целевое,7.7,295.1,Прикладная математика,клх Оха,8 (962) 836-68-65,,88.0,,,63.0,67.0
Владлен Елисеевич Морозов,2020,Платка,6.6,269.7,Прикладная информатика,ст. Ачхой Мартан,+73613108674,69.0,72.0,,,,63.0
Крылова Евфросиния Руслановна,2020,Платка,8.7,303.3,Радиофизика,г. Ирбит,+7 (158) 771-47-82,65.0,,72.0,,79.0,
Касьян Анатольевич Воробьев,2019,Целевое,8.7,353.2,Кибербезопасность,клх Нижний Новгород,8 (847) 003-9231,86.0,93.0,87.0,,,
Горшкова Лукия Сергеевна,2019,Бюджет,8.1,200.2,Международные отношения,г. Казань,87404956120,,36.0,29.0,,54.0,
Кира Семеновна Турова,2019,Платка,5.8,229.1,Психология,п. Адлер,+7 041 528 11 32,68.0,51.0,,,,52.0
Оксана Наумовна Овчинникова,2023,Целевое,6.4,251.6,История,с. Когалым,+7 563 632 01 28,64.0,,,74.0,,50.0
тов. Одинцова Лукия Матвеевна,2019,Платка,8.3,383.4,Прикладная математика,клх Меренга,+7 (923) 769-72-28,100.0,100.0,,,100.0,
Калинина Марина Максимовна,2019,Бюджет,8.9,314.8,Психология,с. Белоярский,8 005 382 2534,70.0,,,60.0,96.0,
Федоров Климент Анисимович,2023,Бюджет,9.7,319.7,Психология,клх Миасс,81265306087,,,67.0,,71.0,85.0
Жанна Георгиевна Вишнякова,2020,Целевое,8.2,348.5,Международные отношения,клх Иркутск,8 (074) 491-55-90,98.0,,,92.0,,76.0
Овчинникова Анжелика Васильевна,2021,Платка,8.2,233.4,Кибербезопасность,г. Богучар,84558962491,47.0,43.0,,61.0,,
Регина Альбертовна Потапова,2021,Платка,8.2,306.7,Радиофизика,клх Учалы,8 670 626 8286,63.0,82.0,,,,80.0
Самойлова Иванна Филипповна,2023,Бюджет,5.5,346.1,Психология,п. Валдай,83543379417,,93.0,,98.0,,100.0
Епифан Яковлевич Лукин,2021,Бюджет,6.2,306.0,Информатика,ст. Архангельск,8 102 328 5823,,,,79.0,83.0,82.0
Поликарп Артемьевич Сысоев,2022,Платка,7.5,356.4,История,п. Торжок,+7 526 702 17 24,,92.0,98.0,91.0,,
Всемил Гавриилович Калашников,2022,Целевое,7.0,329.8,Психология,п. Шатки,80599627231,,,85.0,91.0,,84.0
Панова Евфросиния Рудольфовна,2023,Бюджет,6.4,292.3,Прикладная информатика,клх Неплюевка,+7 027 487 81 73,,75.0,,,85.0,68.0
Аггей Августович Кондратьев,2019,Целевое,8.7,317.4,Психология,ст. Моздок,+7 713 623 9599,77.0,,81.0,,72.0,
Парамон Елисеевич Голубев,2023,Бюджет,8.8,277.8,Лечебное дело,д. Новомосковск,+7 (335) 966-0643,,,,56.0,58.0,76.0
Евпраксия Тимуровна Гусева,2019,Платка,7.0,288.7,Психология,д. Калевала,+77234320518,,,85.0,76.0,,58.0
Викентий Жанович Мамонтов,2023,Целевое,7.2,365.6,Международные отношения,клх Тольятти,8 (923) 467-9885,,100.0,,,100.0,94.0
Якуб Богданович Герасимов,2020,Платка,7.5,213.6,Лечебное дело,с. Шаховская,89199700138,,,41.0,,42.0,56.0
Марина Натановна Кулакова,2023,Целевое,7.2,334.4,Психология,ст. Амдерма,+7 212 976 51 57,100.0,,71.0,91.0,,
Морозова Анжелика Николаевна,2022,Платка,7.7,312.0,Психология,г. Кежма,8 341 386 05 55,,64.0,,79.0,92.0,
Фотий Тихонович Игнатьев,2021,Целевое,6.9,339.6,Международные отношения,ст. Норильск,+7 (835) 464-5812,,,75.0,,96.0,100.0
Екатерина Валериевна Наумова,2023,Платка,9.2,307.0,Международные отношения,п. Новомичуринск,8 923 104 6480,72.0,63.0,,,,80.0
Ксения Олеговна Агафонова,2021,Бюджет,8.3,280.6,Лечебное дело,г. Белогорск (Амур.),+7 143 811 4681,57.0,,70.0,,,71.0
Воронова Василиса Аскольдовна,2022,Бюджет,6.8,321.6,Радиофизика,ст. Губкинский,+76446454151,,63.0,,,97.0,94.0
Орехов Сократ Васильевич,2020,Платка,9.9,329.1,Прикладная информатика,клх Беслан,8 542 169 40 76,,72.0,77.0,81.0,,
Беляев Фирс Фокич,2022,Бюджет,7.5,276.6,Кибербезопасность,п. Енисейск,+7 051 504 10 04,,,,78.0,65.0,59.0
Дарья Алексеевна Блинова,2022,Целевое,8.9,386.3,Психология,к. Ухта,85026983593,,,97.0,100.0,,100.0
Акулина Рубеновна Потапова,2021,Целевое,8.3,383.2,Философия,п. Комсомольск-на-Амуре,8 580 880 17 26,100.0,,,100.0,,100.0
Алла Алексеевна Шилова,2023,Платка,8.8,388.3,История,клх Когалым,+72878647234,,100.0,,100.0,,100.0
Валерьян Дмитриевич Дементьев,2019,Бюджет,9.2,370.6,Прикладная информатика,п. Ахтубинск,+7 760 872 75 69,87.0,92.0,100.0,,,
Феврония Валентиновна Копылова,2022,Бюджет,6.5,345.2,Кибербезопасность,г. Салехард,+7 236 294 1441,84.0,,,99.0,,97.0
Фаина Павловна Новикова,2021,Бюджет,7.7,331.3,Психология,с. Октябрьское (Челяб.),8 (340) 204-52-72,100.0,79.0,,75.0,,
Ситникова Василиса Геннадьевна,2021,Платка,10.0,332.0,Информатика,п. Кежма,8 (141) 602-3893,,,90.0,,81.0,61.0
Пестов Бажен Евстигнеевич,2022,Целевое,7.4,314.9,Кибербезопасность,ст. Тымовское,8 (993) 251-24-44,73.0,,81.0,,87.0,
Артем Александрович Авдеев,2019,Целевое,7.7,314.3,Международные отношения,ст. Оха,+7 (557) 719-67-28,,,69.0,,88.0,80.0
Никанор Харитонович Николаев,2023,Бюджет,8.9,354.3,Международные отношения,ст. Вендинга,8 354 846 59 91,,87.0,83.0,,,95.0
Мартынова Глафира Николаевна,2021,Целевое,7.4,251.2,Информатика,клх Корсаков,8 (792) 614-8615,,66.0,,57.0,,54.0
Прохоров Вячеслав Аксёнович,2020,Бюджет,8.0,252.3,Радиофизика,г. Казань,8 409 864 78 51,,49.0,,,41.0,82.0
Никитина Фаина Дмитриевна,2021,Платка,6.8,265.2,Международные отношения,к. Усть-Ишим,+7 517 225 0034,,56.0,73.0,,,68.0
Зинаида Ильинична Ершова,2019,Бюджет,9.7,277.2,История,с. Терскол,+77448001835,,49.0,,,72.0,59.0
Филатова Фёкла Константиновна,2021,Целевое,7.8,227.9,Психология,ст. Королев,+7 (185) 910-76-82,,42.0,,51.0,,57.0
Светозар Бориславович Лобанов,2019,Целевое,7.4,284.0,Психология,клх Стрежевой,8 337 742 9915,77.0,,,53.0,,80.0
Вацлав Гавриилович Соловьев,2020,Целевое,8.0,365.4,История,к. Ардон,8 (942) 717-79-46,,92.0,93.0,,100.0,
Клавдия Ильинична Макарова,2021,Целевое,7.4,362.9,Прикладная математика,клх Вологда,82149997233,96.0,,93.0,100.0,,
Михей Евстигнеевич Мухин,2021,Платка,5.8,352.8,Кибербезопасность,с. Северо-Курильск,83799624523,,95.0,,100.0,100.0,
