ФИО,Год_поступления,Форма_обучения,Средний_балл_аттестата,Общий_балл,Специальность,Адрес_регистрации,Телефон,ЦТ_Русский язык,ЦТ_Химия,ЦТ_Физика,ЦТ_Математика,ЦТ_История,ЦТ_Биология
Бирюков Доброслав Георгиевич,2023,Целевое,6.4,234.0,Международные отношения,ст. Адлер,81178010445,,59.0,,55.0,56.0,
Константинов Лаврентий Федотович,2019,Бюджет,6.0,335.2,Прикладная математика,с. Энгельс,+7 210 076 53 33,90.0,85.0,100.0,,,
Пелагея Петровна Кузнецова,2020,Целевое,7.8,314.1,Прикладная информатика,с. Яшкуль,8 882 717 84 36,59.0,,,100.0,,77.0
Иосиф Эдгарович Королев,2023,Бюджет,7.9,331.6,Психология,г. Калуга,87701587336,100.0,,77.0,,,76.0
Потап Борисович Козлов,2023,Целевое,7.9,331.5,Психология,с. Губкин,+7 110 523 26 66,,,74.0,,94.0,85.0
Кошелев Прокл Афанасьевич,2022,Целевое,8.3,288.9,Информатика,п. Александров Гай,+7 719 691 24 58,83.0,70.0,,,,53.0
Константинова Лукия Вячеславовна,2022,Бюджет,8.7,288.6,Философия,к. Сладково,+78225206987,80.0,,69.0,53.0,,
Данила Якубович Самсонов,2019,Целевое,6.6,323.0,Прикладная математика,к. Завьялиха,+7 954 649 2824,73.0,,100.0,,84.0,
Амос Федосьевич Волков,2019,Целевое,7.8,261.3,Прикладная информатика,п. Чита,8 059 716 7761,48.0,,68.0,67.0,,
Исакова Нинель Львовна,2019,Платка,10.0,361.0,Психология,п. Алдан,8 (585) 829-01-81,,,79.0,82.0,100.0,
Лора Викторовна Журавлева,2022,Бюджет,7.2,322.3,Лечебное дело,д. Светлогорск (Калин.),+7 311 263 85 21,,,74.0,,76.0,100.0
Януарий Жанович Калинин,2022,Платка,5.7,329.8,Радиофизика,клх Брянск,8 409 772 5870,,,100.0,95.0,78.0,
Евдокимова Жанна Тимофеевна,2021,Платка,7.7,287.1,Прикладная информатика,с. Волгоград,+7 (401) 752-8360,69.0,,,66.0,,75.0
Попова Алина Владиславовна,2019,Платка,6.1,295.3,Лечебное дело,клх Дмитров,+7 (469) 297-8371,66.0,92.0,,76.0,,
Воронцова Зоя Геннадиевна,2020,Бюджет,5.8,328.5,Радиофизика,ст. Рубцовск,+7 679 169 34 38,,,100.0,,82.0,88.0
Анастасия Матвеевна Константинова,2020,Платка,10.0,289.0,Международные отношения,г. Шуя,+7 (318) 842-8167,,,63.0,63.0,,63.0
Богданов Моисей Антонович,2023,Бюджет,7.1,360.2,Прикладная информатика,д. Семлячики,81141457783,93.0,,,100.0,96.0,
Рыбаков Наум Андреевич,2020,Бюджет,7.6,322.0,Лечебное дело,с. Тотьма,80421175738,81.0,,,,78.0,87.0
Князев Федот Ерофеевич,2022,Бюджет,6.9,369.3,Радиофизика,д. Бавлы,+7 (483) 596-1619,,,100.0,100.0,,100.0
Комаров Севастьян Герасимович,2021,Платка,8.3,335.2,Кибербезопасность,клх Екатеринбург,+7 410 818 1164,,90.0,,,83.0,79.0
Андроник Юльевич Евсеев,2020,Платка,10.0,288.0,Философия,д. Кабанск,+75592514902,,,63.0,61.0,64.0,
Ефремов Мстислав Трофимович,2019,Бюджет,8.5,305.2,Прикладная математика,ст. Зарайск,89472923147,,,80.0,,59.0,81.0
Савин Владлен Ермолаевич,2023,Бюджет,6.1,269.6,Лечебное дело,с. Комсомольск-на-Амуре,+7 (131) 781-90-23,,,64.0,71.0,74.0,
Фомин Тимур Гаврилович,2022,Бюджет,8.0,312.9,История,ст. Сыктывкар,+7 092 695 4194,,,64.0,88.0,81.0,
Филимон Данилович Логинов,2019,Платка,5.7,267.8,Психология,клх Анива,8 (200) 071-8541,68.0,61.0,,,82.0,
Белозеров Потап Зиновьевич,2020,Целевое,8.4,295.3,Психология,с. Пермь,+76736662616,85.0,57.0,69.0,,,
Марков Азарий Ермилович,2022,Бюджет,7.2,221.0,Философия,с. Южно-Курильск,8 946 663 04 93,69.0,29.0,,,,51.0
Яковлева Олимпиада Алексеевна,2019,Бюджет,7.7,237.6,Прикладная информатика,г. Кировск (Мурм.),+7 493 018 85 79,,,,58.0,36.0,67.0
Николай Ярославович Лукин,2023,Бюджет,6.3,357.2,Философия,клх Куртамыш,8 259 532 8305,,100.0,99.0,,95.0,
Блохина Ираида Геннадьевна,2019,Бюджет,7.0,305.4,Международные отношения,к. Сузун,+7 (626) 032-2737,80.0,78.0,77.0,,,
тов. Кузнецова Евдокия Альбертовна,2023,Целевое,10.0,360.0,Информатика,д. Алапаевск,+7 341 316 15 80,,86.0,,79.0,95.0,
Жуков Милован Бориславович,2021,Целевое,6.8,227.5,Прикладная информатика,г. Усть-Калманка,8 (430) 172-33-19,,47.0,58.0,55.0,,
Владлен Измаилович Афанасьев,2019,Целевое,7.9,285.3,Психология,к. Усинск,+7 (775) 005-75-43,,75.0,60.0,,71.0,
Родион Эдгарович Вишняков,2023,Бюджет,8.3,311.6,Психология,п. Шахты,+7 (939) 666-5187,84.0,70.0,75.0,,,
Аким Игнатьевич Зиновьев,2023,Платка,7.5,287.7,Радиофизика,ст. Кашира,+7 (321) 371-7928,,59.0,,83.0,71.0,
Фаина Аркадьевна Орехова,2021,Бюджет,7.3,310.6,Психология,ст. Обнинск,+7 511 506 2443,,69.0,81.0,88.0,,
Филимон Алексеевич Евсеев,2020,Целевое,9.1,321.7,Информатика,п. Бреды,+75642262511,76.0,,,,76.0,79.0
Родионов Ростислав Анисимович,2019,Бюджет,7.3,298.4,Философия,д. Геленджик,+7 161 147 39 05,81.0,,67.0,77.0,,
Меркушева Анна Владиславовна,2023,Целевое,6.3,326.9,Прикладная математика,ст. Кондопога,+79152300265,100.0,,93.0,,,71.0
Клавдия Болеславовна Юдина,2021,Платка,8.3,289.5,Лечебное дело,г. Владикавказ,8 (859) 284-9787,,78.0,62.0,67.0,,
Евсей Артёмович Рыбаков,2019,Платка,8.7,291.7,Лечебное дело,ст. Тосно,+74778672637,,,63.0,,60.0,82.0
Гурьева Антонина Леоновна,2020,Бюджет,6.8,268.2,Философия,к. Середниково,+7 (254) 511-0922,,,73.0,66.0,,61.0
Морозов Андрей Германович,2022,Целевое,6.9,267.3,Кибербезопасность,клх Новороссийка,+7 327 091 61 00,66.0,58.0,74.0,,,
Зайцева Марфа Макаровна,2019,Платка,7.2,267.4,Лечебное дело,ст. Нефтегорск (Самар.),86523565745,,,66.0,58.0,,71.0
Панкрат Вилорович Моисеев,2022,Платка,7.5,345.8,Прикладная математика,с. Бугульма,8 (027) 958-89-26,,95.0,97.0,,79.0,
Носков Пимен Виленович,2020,Платка,6.5,243.1,Психология,к. Россошь,+7 304 765 42 06,62.0,56.0,,60.0,,
Валерия Семеновна Комарова,2021,Целевое,8.3,345.3,Прикладная математика,г. Малгобек,+7 678 756 8269,,85.0,,,97.0,80.0
Киселев Андрей Харламович,2019,Платка,6.6,267.7,Прикладная математика,г. Тында,8 394 689 7784,,64.0,74.0,,64.0,
Мариан Антонович Власов,2019,Целевое,10.0,338.0,Радиофизика,к. Чита,8 (211) 798-2009,,84.0,,,79.0,75.0
Сергеева Лариса Васильевна,2023,Целевое,6.5,296.3,Психология,п. Талдом,+70940843149,,,88.0,75.0,,68.0
Ян Ермолаевич Суханов,2019,Целевое,6.6,204.9,Философия,с. Старая Русса,+7 (965) 194-97-56,,,52.0,36.0,,51.0
Кононова Октябрина Рубеновна,2022,Бюджет,6.8,333.1,Прикладная информатика,г. Ессентуки,+7 (136) 449-7533,81.0,97.0,,,87.0,
Тамара Геннадьевна Денисова,2021,Целевое,8.9,279.2,Радиофизика,п. Серпухов,8 (116) 468-24-89,78.0,65.0,,,,47.0
Суворов Серафим Ануфриевич,2021,Целевое,9.0,298.9,Радиофизика,ст. Яр-Сале,+7 131 253 9136,80.0,,64.0,,,65.0
Силин Емельян Гавриилович,2020,Целевое,7.0,207.6,Информатика,д. Бийск,8 (368) 525-7424,,48.0,,,42.0,48.0
Калинин Любомир Харлампович,2019,Платка,8.1,306.2,История,клх Байкальск,84179163353,,68.0,77.0,,,80.0
Виктор Феоктистович Игнатов,2023,Целевое,7.9,329.0,Международные отношения,п. Лянтор,8 831 159 8224,,77.0,,,100.0,73.0
Блохина Синклитикия Макаровна,2020,Целевое,7.6,284.8,Психология,ст. Нефтеюганск,+77540811103,,,61.0,72.0,,76.0
Кошелева Тамара Станиславовна,2023,Целевое,8.3,382.7,Прикладная информатика,к. Макаров,+7 (622) 483-2598,100.0,100.0,,,100.0,
Елизавета Игоревна Шарова,2020,Целевое,5.4,335.9,Кибербезопасность,ст. Апшеронск,8 311 865 34 84,,82.0,100.0,,100.0,
Соловьева Раиса Артемовна,2019,Бюджет,9.3,232.0,Международные отношения,д. Ялуторовск,8 (340) 797-7653,,,31.0,59.0,,49.0
Воронова Ульяна Игоревна,2022,Целевое,7.4,297.3,Международные отношения,с. Жуковский,88133679647,,,63.0,,100.0,60.0
Афанасьева Ирина Робертовна,2022,Бюджет,5.9,306.3,Радиофизика,д. Якша,8 (936) 499-68-47,,,96.0,71.0,80.0,
Быкова Вероника Максимовна,2020,Бюджет,6.2,295.3,Прикладная математика,к. Рославль,8 (324) 788-4752,85.0,,,,72.0,76.0
Карпов Иосиф Жанович,2023,Бюджет,6.9,303.6,Международные отношения,д. Избербаш,+7 538 674 65 54,,,82.0,86.0,,67.0
Амвросий Трифонович Потапов,2023,Целевое,6.1,255.6,История,ст. Голицыно,+7 (090) 182-23-62,,55.0,,,80.0,60.0
Морозова Наталья Ефимовна,2023,Платка,7.4,373.7,Международные отношения,клх Петушки,8 274 116 4551,,,100.0,,100.0,100.0
Гусев Фотий Гордеевич,2022,Платка,6.8,320.1,Лечебное дело,д. Новый Оскол,+7 (537) 117-1856,,95.0,78.0,,,79.0
Валентин Адрианович Вишняков,2021,Платка,9.5,277.7,Психология,г. Чокурдах,8 556 508 94 58,,54.0,83.0,46.0,,
Бронислав Ефимович Афанасьев,2021,Платка,8.8,349.4,Кибербезопасность,ст. Поярково,8 (249) 957-15-96,,,100.0,85.0,76.0,
Осипова Евфросиния Вячеславовна,2020,Платка,6.6,259.9,Прикладная информатика,г. Гагарин,8 002 690 24 72,60.0,,62.0,,72.0,
Фёкла Мироновна Горбачева,2022,Платка,8.6,247.6,Радиофизика,ст. Шамары,8 (154) 264-45-10,,48.0,,,43.0,71.0
Игорь Власович Семенов,2019,Бюджет,9.3,318.3,История,с. Юрьев-Польский,8 (152) 324-8694,80.0,,,61.0,,84.0
Кудряшова Майя Игоревна,2022,Платка,5.8,298.4,Радиофизика,к. Энгельс,8 (543) 584-0954,,82.0,,83.0,75.0,
Касьян Бориславович Калинин,2022,Целевое,6.7,349.2,Международные отношения,д. Грозный,8 (362) 445-22-86,100.0,,95.0,,87.0,
г-н Суворов Кир Фёдорович,2020,Платка,6.5,254.0,Радиофизика,к. Бреды,+73490103897,56.0,,,75.0,,58.0
Мстислав Васильевич Дорофеев,2021,Целевое,6.8,298.1,Международные отношения,г. Гусь-Хрустальный,+7 297 872 69 52,87.0,,68.0,,,75.0
Кира Максимовна Филатова,2020,Целевое,8.4,341.0,История,клх Мурманск,+72877056423,,,,73.0,100.0,84.0
Федор Анатольевич Быков,2023,Целевое,6.6,239.8,Кибербезопасность,к. Кызыл,+7 (370) 753-0987,46.0,,,70.0,,58.0
Федоров Феликс Арсеньевич,2022,Бюджет,6.4,196.1,Философия,с. Асино,+70234160126,,49.0,,32.0,,51.0
Абрамова Евпраксия Никифоровна,2020,Платка,6.7,288.2,Психология,к. Малоярославец,+7 (199) 542-7343,88.0,64.0,,,,69.0
Александра Леоновна Дмитриева,2022,Платка,6.8,306.1,Информатика,д. Фатеж,+7 049 638 67 38,86.0,,,80.0,,72.0
Павлова Галина Егоровна,2019,Платка,4.5,319.3,Прикладная математика,д. Бирск,8 (181) 919-79-75,,,79.0,99.0,96.0,
Алла Вениаминовна Воробьева,2020,Бюджет,6.8,253.8,Лечебное дело,к. Аршан (Бурят.),8 926 791 74 12,,,63.0,65.0,58.0,
Ермакова Александра Петровна,2020,Платка,7.9,319.1,Международные отношения,клх Лабытнанги,8 546 455 66 51,81.0,,75.0,84.0,,
Кононов Виталий Матвеевич,2021,Платка,7.0,285.9,Кибербезопасность,ст. Коломна,+79095906044,,,70.0,83.0,63.0,
Ковалев Мартын Аверьянович,2021,Бюджет,8.9,351.4,История,д. Кежма,+7 (572) 956-7890,,75.0,,87.0,100.0,
Евфросиния Владиславовна Сазонова,2022,Платка,7.1,239.8,История,клх Белый Яр (Томск.),8 216 242 45 58,59.0,,59.0,51.0,,
Элеонора Антоновна Цветкова,2020,Бюджет,8.5,329.0,История,с. Эльтон,+7 616 724 14 76,99.0,75.0,,70.0,,
Елизавета Альбертовна Васильева,2019,Платка,8.9,193.7,Прикладная информатика,г. Артем,+74273643255,,22.0,,,39.0,44.0
Медведев Тихон Жоресович,2023,Целевое,7.7,344.2,Международные отношения,ст. Руза,8 598 612 53 23,,78.0,,89.0,,100.0
Кулагина Ираида Тимуровна,2019,Платка,6.5,295.7,Радиофизика,г. Усть-Камчатск,8 (556) 530-40-23,,69.0,97.0,,,65.0
Григорьев Прохор Федотович,2020,Целевое,8.7,320.5,Международные отношения,с. Тверь,+7 (598) 057-3773,,77.0,,,80.0,76.0
Елена Алексеевна Нестерова,2022,Целевое,8.0,280.5,Лечебное дело,д. Галич,86017333502,63.0,73.0,,,65.0,
Одинцова Дарья Геннадьевна,2019,Платка,8.0,342.0,История,г. Красная Поляна,+76355082426,100.0,,90.0,,,72.0
Воробьева Иванна Рудольфовна,2023,Целевое,9.3,372.0,Международные отношения,ст. Завьялиха,8 (385) 126-25-36,,93.0,,88.0,,98.0
Любовь Антоновна Сазонова,2021,Бюджет,10.0,341.0,Психология,клх Воронеж,+7 326 587 85 78,,72.0,86.0,,,83.0
Любовь Макаровна Тетерина,2021,Платка,7.8,329.7,Информатика,ст. Тымовское,+76922976445,,83.0,,92.0,77.0,
Михеева Наталья Никифоровна,2020,Бюджет,9.4,317.1,Информатика,д. Луховицы,8 832 833 1094,,,72.0,,73.0,78.0
Панфилова Ульяна Эдуардовна,2020,Целевое,8.8,269.1,Прикладная математика,с. Иркутск,+74961009619,63.0,,,,64.0,54.0
Анна Александровна Романова,2019,Платка,6.3,212.9,Психология,к. Выборг,8 (074) 422-14-06,48.0,,59.0,,,43.0
Христофор Гордеевич Шарапов,2023,Платка,5.9,213.5,Радиофизика,ст. Назрань,8 543 452 4442,,40.0,,,53.0,61.0
Анатолий Гордеевич Шашков,2023,Платка,7.2,296.1,Психология,к. Яр-Сале,+7 193 092 30 46,65.0,89.0,,,,70.0
Софон Фролович Савин,2021,Бюджет,8.3,281.4,Прикладная информатика,к. Агата,8 (378) 297-86-05,,67.0,77.0,54.0,,
Стрелкова Юлия Валериевна,2023,Целевое,10.0,400.0,Международные отношения,г. Кимры,+7 (780) 967-3394,100.0,,100.0,,100.0,
Антонина Станиславовна Нестерова,2021,Целевое,7.3,298.3,Прикладная информатика,с. Урай,81690165880,74.0,76.0,,,75.0,
Антонова Наина Эльдаровна,2020,Платка,6.6,251.4,Психология,к. Новокузнецк,8 (853) 350-45-00,65.0,63.0,57.0,,,
Октябрина Владиславовна Фролова,2019,Целевое,8.8,296.1,Прикладная математика,с. Сыктывкар,8 (292) 856-9406,,45.0,94.0,,69.0,
Клавдия Оскаровна Александрова,2019,Целевое,5.8,302.1,Прикладная информатика,д. Крымск,+7 (188) 301-0303,,67.0,93.0,,,84.0
Вишнякова Виктория Сергеевна,2019,Целевое,9.0,291.3,Международные отношения,ст. Новокузнецк,82122731165,,47.0,,,79.0,75.0
Рогова Агафья Аскольдовна,2021,Бюджет,6.0,313.3,Прикладная информатика,с. Теберда,8 (084) 017-02-05,,79.0,,85.0,,89.0
Федотов Всеслав Владиславович,2019,Платка,8.0,333.3,Кибербезопасность,п. Гатчина,+7 (638) 934-99-53,,,,88.0,87.0,78.0
Таисия Артемовна Кононова,2020,Целевое,8.2,307.1,Прикладная информатика,к. Юрьевец (Иван.),82504744679,,78.0,80.0,67.0,,
Панов Модест Тихонович,2023,Платка,7.3,298.8,Информатика,г. Абакан,+7 (448) 343-46-81,60.0,,90.0,,76.0,
Герман Филиппович Герасимов,2022,Платка,5.6,257.3,Психология,г. Каргополь,+7 (710) 498-1238,62.0,61.0,,,,78.0
Зинаида Евгеньевна Сазонова,2023,Целевое,9.5,335.4,Лечебное дело,г. Усинск,8 (449) 587-13-03,66.0,,,74.0,100.0,
Ираида Даниловна Шестакова,2020,Платка,7.5,296.5,Лечебное дело,д. Шахты,+7 (144) 965-5456,74.0,,79.0,69.0,,
Егорова Юлия Тимофеевна,2020,Целевое,7.4,357.3,Радиофизика,к. Кущевская,+7 (286) 824-68-45,84.0,,100.0,99.0,,
Зоя Васильевна Меркушева,2022,Целевое,7.7,295.1,Прикладная математика,д. Горячинск,8 (922) 263-8388,,88.0,,,63.0,67.0
Королева Светлана Сергеевна,2020,Платка,6.6,269.7,Прикладная информатика,к. Гремячинск (Перм.),89449542441,69.0,72.0,,,,63.0
Наина Павловна Корнилова,2020,Платка,8.7,303.3,Радиофизика,д. Бузулук,8 (944) 730-54-31,65.0,,72.0,,79.0,
Пономарев Нифонт Брониславович,2019,Целевое,8.7,353.2,Кибербезопасность,с. Нижнеудинск,+7 431 590 00 27,86.0,93.0,87.0,,,
Котова Оксана Леонидовна,2019,Бюджет,8.1,200.2,Международные отношения,к. Иркутск,89186326755,,36.0,29.0,,54.0,
Шестакова Елизавета Олеговна,2019,Платка,5.8,229.1,Психология,клх Саянск,8 709 748 1853,68.0,51.0,,,,52.0
Агафья Александровна Семенова,2023,Целевое,6.4,251.6,История,г. Киров (Вятка),+7 046 617 8623,64.0,,,74.0,,50.0
Ираида Романовна Мартынова,2019,Платка,8.3,383.4,Прикладная математика,к. Мелеуз,8 (962) 108-70-17,100.0,100.0,,,100.0,
Лукия Григорьевна Рогова,2019,Бюджет,8.9,314.8,Психология,г. Чокурдах,8 (403) 846-0393,70.0,,,60.0,96.0,
Некрасова Раиса Геннадьевна,2023,Бюджет,9.7,319.7,Психология,с. Усинск,+7 106 751 6128,,,67.0,,71.0,85.0
Фаина Алексеевна Копылова,2020,Целевое,8.2,348.5,Международные отношения,к. Сусуман,+75158109469,98.0,,,92.0,,76.0
Самсонова Оксана Ждановна,2021,Платка,8.2,233.4,Кибербезопасность,с. Тутаев,87901832860,47.0,43.0,,61.0,,
Захар Денисович Лукин,2021,Платка,8.2,306.7,Радиофизика,г. Касимов,+7 (093) 717-8796,63.0,82.0,,,,80.0
Князева Прасковья Семеновна,2023,Бюджет,5.5,346.1,Психология,с. Камень-на-Оби,8 (906) 549-07-10,,93.0,,98.0,,100.0
Наталья Петровна Белова,2021,Бюджет,6.2,306.0,Информатика,с. Томари,89959950667,,,,79.0,83.0,82.0
Тихон Борисович Филатов,2022,Платка,7.5,356.4,История,п. Бронницы,8 890 316 2296,,92.0,98.0,91.0,,
София Максимовна Третьякова,2022,Целевое,7.0,329.8,Психология,д. Тихорецк,+7 (640) 063-78-02,,,85.0,91.0,,84.0
Исаева Синклитикия Рубеновна,2023,Бюджет,6.4,292.3,Прикладная информатика,п. Калуга,88995232001,,75.0,,,85.0,68.0
Сазонова Ксения Вячеславовна,2019,Целевое,8.7,317.4,Психология,клх Избербаш,8 (809) 418-69-05,77.0,,81.0,,72.0,
Андрон Артурович Гордеев,2023,Бюджет,8.8,277.8,Лечебное дело,п. Боровск,+75600805357,,,,56.0,58.0,76.0
Кириллов Гостомысл Игоревич,2019,Платка,7.0,288.7,Психология,д. Алагир,8 592 858 50 11,,,85.0,76.0,,58.0
Бирюкова Фёкла Святославовна,2023,Целевое,7.2,365.6,Международные отношения,п. Усть-Ишим,8 855 480 7467,,100.0,,,100.0,94.0
Антонина Валериевна Муравьева,2020,Платка,7.5,213.6,Лечебное дело,с. Таштагол,8 076 395 1453,,,41.0,,42.0,56.0
Элеонора Рудольфовна Доронина,2023,Целевое,7.2,334.4,Психология,д. Гдов,+7 (669) 615-69-41,100.0,,71.0,91.0,,
Котов Анатолий Эдгарович,2022,Платка,7.7,312.0,Психология,п. Великие Луки,+7 (565) 614-9454,,64.0,,79.0,92.0,
Ефим Елисеевич Тимофеев,2021,Целевое,6.9,339.6,Международные отношения,с. Арзамас,8 988 810 58 05,,,75.0,,96.0,100.0
Ферапонт Викторович Голубев,2023,Платка,9.2,307.0,Международные отношения,с. Химки,8 848 211 81 45,72.0,63.0,,,,80.0
Аксенов Эрнст Валерианович,2021,Бюджет,8.3,280.6,Лечебное дело,к. Дивногорск,+7 266 356 60 07,57.0,,70.0,,,71.0
Анастасия Дмитриевна Мухина,2022,Бюджет,6.8,321.6,Радиофизика,с. Орехово-Зуево,+7 439 519 7895,,63.0,,,97.0,94.0
Моисеев Зосима Бенедиктович,2020,Платка,9.9,329.1,Прикладная информатика,п. Пышма,8 245 473 7788,,72.0,77.0,81.0,,
Модест Ермолаевич Мамонтов,2022,Бюджет,7.5,276.6,Кибербезопасность,к. Чикола,8 482 772 76 92,,,,78.0,65.0,59.0
Владимирова Марфа Эльдаровна,2022,Целевое,8.9,386.3,Психология,д. Горно-Алтайск,8 (006) 510-7315,,,97.0,100.0,,100.0
Козлова Маргарита Павловна,2021,Целевое,8.3,383.2,Философия,д. Каргасок,8 840 302 53 10,100.0,,,100.0,,100.0
София Тимуровна Владимирова,2023,Платка,8.8,388.3,История,п. Шамары,+7 (206) 052-9044,,100.0,,100.0,,100.0
Антонина Тарасовна Селезнева,2019,Бюджет,9.2,370.6,Прикладная информатика,клх Печора,+7 (467) 504-96-76,87.0,92.0,100.0,,,
Медведев Станимир Иосипович,2022,Бюджет,6.5,345.2,Кибербезопасность,к. Пермь,+7 484 975 7188,84.0,,,99.0,,97.0
Агафон Демьянович Зимин,2021,Бюджет,7.7,331.3,Психология,к. Орел,82824296695,100.0,79.0,,75.0,,
Ульяна Эльдаровна Беляева,2021,Платка,10.0,332.0,Информатика,п. Советский,87951426177,,,90.0,,81.0,61.0
Савелий Артемьевич Шестаков,2022,Целевое,7.4,314.9,Кибербезопасность,д. Каргасок,+7 (526) 372-8305,73.0,,81.0,,87.0,
Екатерина Захаровна Логинова,2019,Целевое,7.7,314.3,Международные отношения,г. Пинега,8 266 456 5578,,,69.0,,88.0,80.0
Измаил Валерьевич Сорокин,2023,Бюджет,8.9,354.3,Международные отношения,п. Диксон,8 (737) 316-8827,,87.0,83.0,,,95.0
Чернов Мстислав Августович,2021,Целевое,7.4,251.2,Информатика,п. Южно-Сахалинск,8 (747) 197-88-48,,66.0,,57.0,,54.0
Елизавета Васильевна Зиновьева,2020,Бюджет,8.0,252.3,Радиофизика,п. Вытегра,8 (653) 235-0218,,49.0,,,41.0,82.0
Серафим Эдгарович Шилов,2021,Платка,6.8,265.2,Международные отношения,г. Светлогорск (Калин.),8 (613) 879-6338,,56.0,73.0,,,68.0
Иванна Феликсовна Абрамова,2019,Бюджет,9.7,277.2,История,п. Биробиджан,8 331 044 3059,,49.0,,,72.0,59.0
Онуфрий Германович Корнилов,2021,Целевое,7.8,227.9,Психология,д. Пермь,+7 (074) 747-9362,,42.0,,51.0,,57.0
Макарова Зоя Викторовна,2019,Целевое,7.4,284.0,Психология,к. Хужир,+7 061 680 4589,77.0,,,53.0,,80.0
Гордеева Марфа Наумовна,2020,Целевое,8.0,365.4,История,ст. Хасавюрт,+7 (745) 405-6515,,92.0,93.0,,100.0,
Анисимова Галина Максимовна,2021,Целевое,7.4,362.9,Прикладная математика,клх Смирных,+7 107 921 83 74,96.0,,93.0,100.0,,
Дмитриев Изот Ааронович,2021,Платка,5.8,352.8,Кибербезопасность,с. Рыльск,86765668490,,95.0,,100.0,100.0,
